# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
40.005         -1.863431e+02 -3.279910e+02 8.313837e-17 -1.861317e+02 -3.275264e+02 8.313675e-17 -2.113836e-01 -4.645478e-01 1.618459e-21
40.01          -2.287164e+02 -3.540209e+02 8.984283e-17 -2.285045e+02 -3.535558e+02 8.984120e-17 -2.118959e-01 -4.650882e-01 1.627313e-21
40.015         -2.401841e+02 -3.732952e+02 9.529929e-17 -2.399718e+02 -3.728297e+02 9.529766e-17 -2.122886e-01 -4.655110e-01 1.629996e-21
40.02          -3.089636e+02 -2.348727e+02 5.759661e-17 -3.087510e+02 -2.344074e+02 5.759497e-17 -2.125420e-01 -4.653045e-01 1.641199e-21
40.025         -2.852709e+02 -2.635747e+02 6.507673e-17 -2.850580e+02 -2.631091e+02 6.507509e-17 -2.128818e-01 -4.655656e-01 1.638253e-21
40.03          -2.524272e+02 -3.241297e+02 8.130143e-17 -2.522138e+02 -3.236638e+02 8.129978e-17 -2.134207e-01 -4.659608e-01 1.647804e-21
40.035         -1.759648e+02 -2.616116e+02 6.509963e-17 -1.757513e+02 -2.611460e+02 6.509797e-17 -2.134898e-01 -4.655283e-01 1.659382e-21
40.04          -1.375431e+02 -1.557816e+02 3.661289e-17 -1.373294e+02 -1.553160e+02 3.661123e-17 -2.137173e-01 -4.656030e-01 1.658220e-21
40.045         -1.105950e+02 -2.168404e+02 5.318366e-17 -1.103808e+02 -2.163740e+02 5.318201e-17 -2.142215e-01 -4.664186e-01 1.650812e-21
40.05          -1.111921e+02 -3.553406e+02 9.035997e-17 -1.109772e+02 -3.548731e+02 9.035832e-17 -2.148961e-01 -4.674620e-01 1.641263e-21
40.055         -1.087787e+02 -3.649300e+02 9.288337e-17 -1.085637e+02 -3.644629e+02 9.288172e-17 -2.150091e-01 -4.670961e-01 1.643204e-21
40.06          -1.796441e+02 -2.650144e+02 6.564286e-17 -1.794289e+02 -2.645477e+02 6.564121e-17 -2.151727e-01 -4.667063e-01 1.651905e-21
40.065         -2.307613e+02 -2.470510e+02 6.081436e-17 -2.305457e+02 -2.465839e+02 6.081270e-17 -2.155839e-01 -4.671415e-01 1.654186e-21
40.07          -2.618829e+02 -2.426988e+02 5.973977e-17 -2.616667e+02 -2.422308e+02 5.973811e-17 -2.161724e-01 -4.679673e-01 1.660036e-21
40.075         -1.955309e+02 -3.361541e+02 8.500152e-17 -1.953143e+02 -3.356852e+02 8.499986e-17 -2.165844e-01 -4.688920e-01 1.653623e-21
40.08          -1.222346e+02 -2.940150e+02 7.399421e-17 -1.220185e+02 -2.935468e+02 7.399257e-17 -2.161657e-01 -4.681921e-01 1.642930e-21
40.085         -8.514957e+01 -2.583827e+02 6.399704e-17 -8.493376e+01 -2.579156e+02 6.399540e-17 -2.158102e-01 -4.671498e-01 1.637850e-21
40.09          -1.020969e+02 -2.606937e+02 6.438748e-17 -1.018806e+02 -2.602258e+02 6.438586e-17 -2.163417e-01 -4.679129e-01 1.624952e-21
40.095         -4.242765e+01 -2.953739e+02 7.372576e-17 -4.221130e+01 -2.949058e+02 7.372416e-17 -2.163559e-01 -4.680766e-01 1.603968e-21
40.1           -1.167350e+02 -1.854784e+02 4.397919e-17 -1.165186e+02 -1.850107e+02 4.397760e-17 -2.163741e-01 -4.677041e-01 1.598028e-21
40.105         -5.393565e+01 -2.762313e+02 6.898444e-17 -5.371901e+01 -2.757632e+02 6.898287e-17 -2.166428e-01 -4.680821e-01 1.570852e-21
40.11          -6.972803e+01 -2.463063e+02 6.076725e-17 -6.951143e+01 -2.458387e+02 6.076568e-17 -2.166024e-01 -4.675572e-01 1.569564e-21
40.115         -9.266889e+01 -2.705481e+02 6.738050e-17 -9.245197e+01 -2.700803e+02 6.737891e-17 -2.169199e-01 -4.677514e-01 1.587537e-21
40.12          -9.454399e+01 -3.012966e+02 7.577705e-17 -9.432682e+01 -3.008289e+02 7.577543e-17 -2.171697e-01 -4.677602e-01 1.614806e-21
40.125         -1.215161e+02 -3.185406e+02 8.041292e-17 -1.212984e+02 -3.180725e+02 8.041127e-17 -2.176310e-01 -4.681248e-01 1.648369e-21
40.13          -1.604609e+02 -3.333363e+02 8.443539e-17 -1.602428e+02 -3.328676e+02 8.443372e-17 -2.180883e-01 -4.686602e-01 1.668353e-21
40.135         -1.765919e+02 -3.186032e+02 8.061600e-17 -1.763734e+02 -3.181342e+02 8.061431e-17 -2.184470e-01 -4.690421e-01 1.690567e-21
40.14          -1.867977e+02 -3.015488e+02 7.593586e-17 -1.865788e+02 -3.010793e+02 7.593415e-17 -2.189227e-01 -4.695494e-01 1.709763e-21
40.145         -2.231796e+02 -2.816625e+02 7.045249e-17 -2.229603e+02 -2.811926e+02 7.045077e-17 -2.192525e-01 -4.698861e-01 1.719602e-21
40.15          -1.921931e+02 -2.232537e+02 5.457767e-17 -1.919738e+02 -2.227838e+02 5.457594e-17 -2.193174e-01 -4.698392e-01 1.721745e-21
40.155         -1.050375e+02 -2.218059e+02 5.422261e-17 -1.048185e+02 -2.213365e+02 5.422092e-17 -2.190201e-01 -4.693855e-01 1.691072e-21
40.16          -9.294531e+01 -2.506496e+02 6.221645e-17 -9.272613e+01 -2.501800e+02 6.221478e-17 -2.191841e-01 -4.695974e-01 1.670412e-21
40.165         -1.488740e+01 -1.886200e+02 4.572220e-17 -1.466794e+01 -1.881503e+02 4.572052e-17 -2.194571e-01 -4.696719e-01 1.677709e-21
40.17          -1.978273e+01 -1.616529e+02 3.846893e-17 -1.956272e+01 -1.611826e+02 3.846725e-17 -2.200134e-01 -4.702538e-01 1.684191e-21
