# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.005         	4.564661e-03	-3.268869e+01	3.269326e+01	6.538195e+01	-1.312558e+03	1.377940e+03	-1.345249e+03	-3.269098e+01	2.282330e-03	2.046387e-17	2.282330e-03	-2.282330e-03
0.01          	4.258590e-03	-3.268889e+01	3.269315e+01	6.538205e+01	-1.312569e+03	1.377951e+03	-1.345260e+03	-3.269102e+01	2.129295e-03	2.046392e-17	2.129295e-03	-2.129295e-03
0.015         	4.172071e-03	-3.268893e+01	3.269310e+01	6.538202e+01	-1.312571e+03	1.377953e+03	-1.345262e+03	-3.269101e+01	2.086035e-03	2.046391e-17	2.086035e-03	-2.086035e-03
0.02          	4.083945e-03	-3.268912e+01	3.269320e+01	6.538232e+01	-1.312579e+03	1.377962e+03	-1.345270e+03	-3.269116e+01	2.041972e-03	2.046401e-17	2.041972e-03	-2.041972e-03
0.025         	4.041375e-03	-3.268915e+01	3.269319e+01	6.538234e+01	-1.312581e+03	1.377964e+03	-1.345272e+03	-3.269117e+01	2.020687e-03	2.046402e-17	2.020687e-03	-2.020687e-03
0.03          	4.053728e-03	-3.268928e+01	3.269334e+01	6.538262e+01	-1.312586e+03	1.377969e+03	-1.345278e+03	-3.269131e+01	2.026864e-03	2.046411e-17	2.026864e-03	-2.026864e-03
0.035         	4.048002e-03	-3.268940e+01	3.269345e+01	6.538284e+01	-1.312591e+03	1.377974e+03	-1.345283e+03	-3.269142e+01	2.024001e-03	2.046418e-17	2.024001e-03	-2.024001e-03
0.04          	4.066311e-03	-3.268941e+01	3.269348e+01	6.538289e+01	-1.312592e+03	1.377975e+03	-1.345283e+03	-3.269145e+01	2.033155e-03	2.046419e-17	2.033155e-03	-2.033155e-03
0.045         	4.095091e-03	-3.268945e+01	3.269354e+01	6.538299e+01	-1.312593e+03	1.377976e+03	-1.345284e+03	-3.269150e+01	2.047545e-03	2.046423e-17	2.047545e-03	-2.047545e-03
0.05          	4.134384e-03	-3.268944e+01	3.269357e+01	6.538301e+01	-1.312592e+03	1.377975e+03	-1.345283e+03	-3.269150e+01	2.067192e-03	2.046423e-17	2.067192e-03	-2.067192e-03
