# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.005          -4.004603e+01 2.791124e-03 1.647913e+03 -4.004603e+01 2.575239e-03 1.647925e+03 -1.653853e-06 2.158854e-04 -1.288327e-02
0.01           -4.004611e+01 2.602510e-03 1.647927e+03 -4.004610e+01 2.387250e-03 1.647940e+03 -1.629833e-06 2.152600e-04 -1.284678e-02
0.015          -4.004616e+01 2.545745e-03 1.647933e+03 -4.004616e+01 2.331109e-03 1.647945e+03 -1.606501e-06 2.146361e-04 -1.281034e-02
0.02           -4.004652e+01 2.489941e-03 1.647951e+03 -4.004652e+01 2.275928e-03 1.647964e+03 -1.584419e-06 2.140129e-04 -1.277391e-02
0.025          -4.004651e+01 2.469021e-03 1.647952e+03 -4.004651e+01 2.255631e-03 1.647965e+03 -1.564002e-06 2.133902e-04 -1.273743e-02
0.03           -4.004666e+01 2.472019e-03 1.647958e+03 -4.004666e+01 2.259250e-03 1.647971e+03 -1.541854e-06 2.127682e-04 -1.270107e-02
0.035          -4.004683e+01 2.468082e-03 1.647965e+03 -4.004682e+01 2.255936e-03 1.647978e+03 -1.521129e-06 2.121462e-04 -1.266465e-02
0.04           -4.004695e+01 2.477105e-03 1.647970e+03 -4.004695e+01 2.265580e-03 1.647982e+03 -1.501627e-06 2.115243e-04 -1.262819e-02
0.045          -4.004703e+01 2.494541e-03 1.647972e+03 -4.004703e+01 2.283639e-03 1.647985e+03 -1.483004e-06 2.109026e-04 -1.259169e-02
0.05           -4.004707e+01 2.518044e-03 1.647972e+03 -4.004707e+01 2.307763e-03 1.647985e+03 -1.465011e-06 2.102810e-04 -1.255518e-02
0.055          -4.004740e+01 2.540249e-03 1.647985e+03 -4.004740e+01 2.330589e-03 1.647997e+03 -1.447637e-06 2.096600e-04 -1.251868e-02
0.06           -4.004727e+01 2.573045e-03 1.647977e+03 -4.004726e+01 2.364006e-03 1.647989e+03 -1.431459e-06 2.090395e-04 -1.248215e-02
0.065          -4.004729e+01 2.602513e-03 1.647976e+03 -4.004728e+01 2.394094e-03 1.647988e+03 -1.415534e-06 2.084197e-04 -1.244566e-02
0.07           -4.004731e+01 2.631188e-03 1.647975e+03 -4.004730e+01 2.423387e-03 1.647988e+03 -1.399950e-06 2.078009e-04 -1.240921e-02
0.075          -4.004735e+01 2.659665e-03 1.647975e+03 -4.004735e+01 2.452482e-03 1.647988e+03 -1.384766e-06 2.071831e-04 -1.237280e-02
0.08           -4.004738e+01 2.686947e-03 1.647975e+03 -4.004738e+01 2.480380e-03 1.647987e+03 -1.369932e-06 2.065665e-04 -1.233645e-02
0.085          -4.004743e+01 2.711233e-03 1.647975e+03 -4.004742e+01 2.505282e-03 1.647988e+03 -1.355523e-06 2.059512e-04 -1.230016e-02
0.09           -4.004743e+01 2.735593e-03 1.647974e+03 -4.004743e+01 2.530255e-03 1.647986e+03 -1.341334e-06 2.053374e-04 -1.226395e-02
0.095          -4.004744e+01 2.758092e-03 1.647973e+03 -4.004744e+01 2.553367e-03 1.647986e+03 -1.327192e-06 2.047252e-04 -1.222784e-02
0.1            -4.004749e+01 2.775405e-03 1.647974e+03 -4.004748e+01 2.571290e-03 1.647986e+03 -1.313147e-06 2.041148e-04 -1.219183e-02
